OID;VIN;SPZ_TIRBAZAR;SPZ_UNIQA;STATUS;DETAIL
19456;7062;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
16158;JMZNB2WPJN6M47390;8A75134;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
17022;TMBAG7NE6J0354183;6AZ9765;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19011;TMBAG8NX5SM023709;1AIM867;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
16660;TMBAJ6NH1F4021301;4AL1387;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19896;VF1FL000876747336;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19998;VF1RDB00475802828;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19789;VF1RDB00575199937;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19788;VF1RDB00975199942;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19904;VF1VB000169836130;9AR3683;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19905;VF1VB000269836119;9AR5623;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19906;VF1VB000369836128;9AS0732;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19903;VF1VB000469836137;9AR7894;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19902;VF1VB000569836115;9AS0701;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19907;VF1VB000569836132;9AR3682;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19908;VF1VB000669836141;9AR3681;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19909;VF1VB000769836116;9AS3697;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19910;VF1VB000869836139;9AS3726;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19911;VF1VB000869836142;9AS3727;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19912;VF1VB000969836117;9AS3725;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19913;VF1VB000969836134;9AS3698;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19958;VF3YBTMGB12264076;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19959;VF3YBTMGB12266888;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
18609;VF6MK000154439390;3SU8439;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19323;VF7YD2MAU12G97504;1ARF339;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19693;VF7YDUMAU12920472;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19690;VXEYCBPHU12W60687;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
16518;WAUZZZ8E05A553490;8AZ0708;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
18165;WBA21EN0909U13975;1ABC701;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19572;WDB9061551N483553;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19510;WDB9061551N580116;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19604;WDB9061551N620103;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19557;WF01XXTTG1NP05778;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19556;WF01XXTTG1NP05780;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19608;WF0EXXTTRENT89570;9AL4555;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19698;WF0FXXTTGFGS09065;4SR7326;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
17897;WF0SXXWPGSKD62492;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
19520;WF0XXXTTFXAG23241;3AV8381;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
13333;ZCFC357130D452230;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
15218;ZCFC3571605917989;BL018TB;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani v Allianz. V Allianz byl nejprve hledán VIN a následně SPZ jako sekundární identifikátor.
